dataset,instance_id,commit_id,parent_sha,bug_category,model,agent,strategy,run_role,method,source_files,modified_func_names,bug_reveal_tests,patch_path,test_status,bug_fix_verdict,confirmed_bug_fix_for_rate,review_confidence,review_reason,risk_signals,patch_files,gold_files,add_jaccard,add_seq_ratio,remove_jaccard,remove_seq_ratio,patch_changed_lines,gold_changed_lines,elapsed_seconds,total_tokens,prompt_tokens,completion_tokens,author_review_note,bug_fix_evidence
multi,pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f,7bb89bcaa44fb5513c7810d039d0b4dc45346574,4259e5d0e07203122f76009c3d81afd42f0e89ed,Logic,gpt,autocoderover,original-patched-short-known-location-editregion,main,gpt_autocoderover_main_autocoderover_openai_gpt4o_acrpatch_short_10000_first10_editregion,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,def:_export;def:_export_non_strict;def:_reparametrize_module;def:make_fake_params_buffers,test/export/test_export.py::test_layer_sharing;test/export/test_export.py::test_non_persistent_buffer,data/multi_func_160/patches/pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f/gpt__autocoderover__main__original-patched-short-known-location-editregion.diff,pass,not_confirmed_bug_fix,False,medium,too_small_and_low_gold_similarity,,torch/nn/utils/stateless.py,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,0.000,0.006,0.000,0.007,2,28,8.344,2371,2034,337,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/nn/utils/stateless.py']; gold_files=['torch/_export/non_strict_utils.py', 'torch/export/_trace.py', 'torch/nn/utils/stateless.py']; add_seq=0.006; rem_seq=0.007; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=2; gold_lines=28; risks=[]"
multi,pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f,7bb89bcaa44fb5513c7810d039d0b4dc45346574,4259e5d0e07203122f76009c3d81afd42f0e89ed,Logic,gpt,swe,tool-call-short-known-location-editregion,main,gpt_swe_main_swe_openai_gpt4o_toolcall_short_10000_first10_editregion,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,def:_export;def:_export_non_strict;def:_reparametrize_module;def:make_fake_params_buffers,test/export/test_export.py::test_layer_sharing;test/export/test_export.py::test_non_persistent_buffer,data/multi_func_160/patches/pytorch_multi_full_0008_non_strict_utils_7bb89bcaa44f/gpt__swe__main__tool-call-short-known-location-editregion.diff,pass,not_confirmed_bug_fix,False,medium,too_small_and_low_gold_similarity,,torch/nn/utils/stateless.py,torch/_export/non_strict_utils.py;torch/export/_trace.py;torch/nn/utils/stateless.py,0.000,0.006,0.000,0.012,2,28,8.084,2101,2019,82,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/nn/utils/stateless.py']; gold_files=['torch/_export/non_strict_utils.py', 'torch/export/_trace.py', 'torch/nn/utils/stateless.py']; add_seq=0.006; rem_seq=0.012; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=2; gold_lines=28; risks=[]"
multi,pytorch_multi_full_0011_sym_node_0a4197490c66,0a4197490c660bee9c788f1903bc3feb7d50ae7d,701ddf962a5d8a0d727f93ed71b3403557eec7ce,Logic,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,deepseek_agentless_no_patch_retry_fill_agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion,torch/fx/experimental/sym_node.py;torch/fx/experimental/symbolic_shapes.py,def:ShapeEnv.simplify;def:_make_node_magic.binary_magic_impl;def:_make_node_magic.round_impl;def:_make_node_magic.sym_ite_impl;def:_make_node_magic.unary_magic_impl;def:safe_expand,test/dynamo/test_misc.py::test_symint_fold_nontrivial_product_modulo,data/multi_func_160/patches/pytorch_multi_full_0011_sym_node_0a4197490c66/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,many_numeric_literals,torch/fx/experimental/sym_node.py;torch/fx/experimental/symbolic_shapes.py,torch/fx/experimental/sym_node.py;torch/fx/experimental/symbolic_shapes.py,0.000,0.088,0.333,0.130,5,17,25.354,10037,1519,8518,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/fx/experimental/sym_node.py', 'torch/fx/experimental/symbolic_shapes.py']; gold_files=['torch/fx/experimental/sym_node.py', 'torch/fx/experimental/symbolic_shapes.py']; add_seq=0.088; rem_seq=0.130; add_jaccard=0.000; rem_jaccard=0.333; patch_lines=5; gold_lines=17; risks=['many_numeric_literals']"
multi,pytorch_multi_full_0011_sym_node_0a4197490c66,0a4197490c660bee9c788f1903bc3feb7d50ae7d,701ddf962a5d8a0d727f93ed71b3403557eec7ce,Logic,deepseek,autocoderover,original-patched-short-known-location-editregion,no_patch_retry_fill,deepseek_autocoderover_no_patch_retry_fill_autocoderover_acrpatch_short_v4pro_10000_retry_3000_nopatch_editregion,torch/fx/experimental/sym_node.py;torch/fx/experimental/symbolic_shapes.py,def:ShapeEnv.simplify;def:_make_node_magic.binary_magic_impl;def:_make_node_magic.round_impl;def:_make_node_magic.sym_ite_impl;def:_make_node_magic.unary_magic_impl;def:safe_expand,test/dynamo/test_misc.py::test_symint_fold_nontrivial_product_modulo,data/multi_func_160/patches/pytorch_multi_full_0011_sym_node_0a4197490c66/deepseek__autocoderover__no_patch_retry_fill__original-patched-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/fx/experimental/sym_node.py,torch/fx/experimental/sym_node.py;torch/fx/experimental/symbolic_shapes.py,0.000,0.095,0.500,0.122,3,17,20.519,8943,1439,7504,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/fx/experimental/sym_node.py']; gold_files=['torch/fx/experimental/sym_node.py', 'torch/fx/experimental/symbolic_shapes.py']; add_seq=0.095; rem_seq=0.122; add_jaccard=0.000; rem_jaccard=0.500; patch_lines=3; gold_lines=17; risks=[]"
multi,pytorch_multi_full_0005_lists_070f3897453e,070f3897453ea71a5505e4fcfaccb44e1e0cfa78,dea50b0778d4342ba67576b432caef4668a09150,API,deepseek,agentless,search-replace-known-location-editregion,main,deepseek_agentless_main_agentless_search_replace_v4pro_3000_editregion,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,def:AutoFunctionalized.__init__;def:AutoFunctionalizedV2.__init__;def:ListVariable.call_method,test/inductor/test_codecache.py::test_auto_functionalized_caching,data/multi_func_160/patches/pytorch_multi_full_0005_lists_070f3897453e/deepseek__agentless__main__search-replace-known-location-editregion.diff,pass,not_confirmed_bug_fix,False,medium,too_small_and_low_gold_similarity,,torch/_higher_order_ops/auto_functionalize.py,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,0.000,0.165,0.000,0.000,2,10,29.399,1975,983,992,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_higher_order_ops/auto_functionalize.py']; gold_files=['torch/_dynamo/variables/lists.py', 'torch/_higher_order_ops/auto_functionalize.py']; add_seq=0.165; rem_seq=0.000; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=2; gold_lines=10; risks=[]"
multi,pytorch_multi_full_0005_lists_070f3897453e,070f3897453ea71a5505e4fcfaccb44e1e0cfa78,dea50b0778d4342ba67576b432caef4668a09150,API,deepseek,autocoderover,original-patched-short-known-location-editregion,no_patch_retry_fill,deepseek_autocoderover_no_patch_retry_fill_autocoderover_acrpatch_short_v4pro_10000_retry_3000_nopatch_editregion,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,def:AutoFunctionalized.__init__;def:AutoFunctionalizedV2.__init__;def:ListVariable.call_method,test/inductor/test_codecache.py::test_auto_functionalized_caching,data/multi_func_160/patches/pytorch_multi_full_0005_lists_070f3897453e/deepseek__autocoderover__no_patch_retry_fill__original-patched-short-known-location-editregion.diff,pass,not_confirmed_bug_fix,False,medium,too_small_and_low_gold_similarity,,torch/_higher_order_ops/auto_functionalize.py,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,0.000,0.165,0.000,0.000,2,10,17.219,2821,1437,1384,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_higher_order_ops/auto_functionalize.py']; gold_files=['torch/_dynamo/variables/lists.py', 'torch/_higher_order_ops/auto_functionalize.py']; add_seq=0.165; rem_seq=0.000; add_jaccard=0.000; rem_jaccard=0.000; patch_lines=2; gold_lines=10; risks=[]"
multi,pytorch_multi_full_0005_lists_070f3897453e,070f3897453ea71a5505e4fcfaccb44e1e0cfa78,dea50b0778d4342ba67576b432caef4668a09150,API,gpt,agentless,search-replace-known-location-editregion,main,gpt_agentless_main_agentless_openai_gpt4o_searchreplace_10000_first10_editregion,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,def:AutoFunctionalized.__init__;def:AutoFunctionalizedV2.__init__;def:ListVariable.call_method,test/inductor/test_codecache.py::test_auto_functionalized_caching,data/multi_func_160/patches/pytorch_multi_full_0005_lists_070f3897453e/gpt__agentless__main__search-replace-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/_higher_order_ops/auto_functionalize.py,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,0.286,0.594,0.667,0.692,4,10,17.417,1535,1442,93,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_higher_order_ops/auto_functionalize.py']; gold_files=['torch/_dynamo/variables/lists.py', 'torch/_higher_order_ops/auto_functionalize.py']; add_seq=0.594; rem_seq=0.692; add_jaccard=0.286; rem_jaccard=0.667; patch_lines=4; gold_lines=10; risks=[]"
multi,pytorch_multi_full_0005_lists_070f3897453e,070f3897453ea71a5505e4fcfaccb44e1e0cfa78,dea50b0778d4342ba67576b432caef4668a09150,API,gpt,aider,search-replace-short-known-location-editregion,main,gpt_aider_main_aider_openai_gpt4o_searchreplace_short_10000_first10_editregion,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,def:AutoFunctionalized.__init__;def:AutoFunctionalizedV2.__init__;def:ListVariable.call_method,test/inductor/test_codecache.py::test_auto_functionalized_caching,data/multi_func_160/patches/pytorch_multi_full_0005_lists_070f3897453e/gpt__aider__main__search-replace-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/_higher_order_ops/auto_functionalize.py,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,0.286,0.594,0.667,0.692,4,10,17.594,1458,1365,93,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_higher_order_ops/auto_functionalize.py']; gold_files=['torch/_dynamo/variables/lists.py', 'torch/_higher_order_ops/auto_functionalize.py']; add_seq=0.594; rem_seq=0.692; add_jaccard=0.286; rem_jaccard=0.667; patch_lines=4; gold_lines=10; risks=[]"
multi,pytorch_multi_full_0005_lists_070f3897453e,070f3897453ea71a5505e4fcfaccb44e1e0cfa78,dea50b0778d4342ba67576b432caef4668a09150,API,gpt,autocoderover,original-patched-short-known-location-editregion,main,gpt_autocoderover_main_autocoderover_openai_gpt4o_acrpatch_short_10000_first10_editregion,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,def:AutoFunctionalized.__init__;def:AutoFunctionalizedV2.__init__;def:ListVariable.call_method,test/inductor/test_codecache.py::test_auto_functionalized_caching,data/multi_func_160/patches/pytorch_multi_full_0005_lists_070f3897453e/gpt__autocoderover__main__original-patched-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/_higher_order_ops/auto_functionalize.py,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,0.286,0.594,0.667,0.692,4,10,17.511,1501,1376,125,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_higher_order_ops/auto_functionalize.py']; gold_files=['torch/_dynamo/variables/lists.py', 'torch/_higher_order_ops/auto_functionalize.py']; add_seq=0.594; rem_seq=0.692; add_jaccard=0.286; rem_jaccard=0.667; patch_lines=4; gold_lines=10; risks=[]"
multi,pytorch_multi_full_0005_lists_070f3897453e,070f3897453ea71a5505e4fcfaccb44e1e0cfa78,dea50b0778d4342ba67576b432caef4668a09150,API,gpt,swe,tool-call-short-known-location-editregion,main,gpt_swe_main_swe_openai_gpt4o_toolcall_short_10000_first10_editregion,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,def:AutoFunctionalized.__init__;def:AutoFunctionalizedV2.__init__;def:ListVariable.call_method,test/inductor/test_codecache.py::test_auto_functionalized_caching,data/multi_func_160/patches/pytorch_multi_full_0005_lists_070f3897453e/gpt__swe__main__tool-call-short-known-location-editregion.diff,pass,confirmed_bug_fix,True,medium,passes_tests_and_edits_relevant_production_logic_without_blocking_risk,,torch/_higher_order_ops/auto_functionalize.py,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,0.286,0.594,0.667,0.692,4,10,17.399,1473,1361,112,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_higher_order_ops/auto_functionalize.py']; gold_files=['torch/_dynamo/variables/lists.py', 'torch/_higher_order_ops/auto_functionalize.py']; add_seq=0.594; rem_seq=0.692; add_jaccard=0.286; rem_jaccard=0.667; patch_lines=4; gold_lines=10; risks=[]"
multi,pytorch_multi_full_0013_trace_rules_80a8fc07b231,80a8fc07b2314df18b6898238b3ba4e6be94e842,9a8e8101a8379e2fb3cf8a45d4cac368d7203a51,API,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,deepseek_agentless_no_patch_retry_fill_agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion,torch/_dynamo/trace_rules.py;torch/_dynamo/variables/builder.py,def:VariableBuilder._wrap;def:is_numpy_dtype;def:is_numpy_type_info,test/dynamo/test_functions.py::test_compare_constant_and_tensor;test/dynamo/test_functions.py::test_np_constant_collections_as_input;test/dynamo/test_functions.py::test_np_constant_collections_guards;test/torch_np/numpy_tests/core/test_multiarray.py::test_scalars,data/multi_func_160/patches/pytorch_multi_full_0013_trace_rules_80a8fc07b231/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,pass,confirmed_bug_fix,True,high,high_alignment_with_human_patch_and_passes_tests,many_numeric_literals,torch/_dynamo/trace_rules.py;torch/_dynamo/variables/builder.py,torch/_dynamo/trace_rules.py;torch/_dynamo/variables/builder.py,0.192,0.381,1.000,1.000,10,28,42.164,6383,1285,5098,Author-perspective static semantic review after passing bug-revealing tests.,"patch_files=['torch/_dynamo/trace_rules.py', 'torch/_dynamo/variables/builder.py']; gold_files=['torch/_dynamo/trace_rules.py', 'torch/_dynamo/variables/builder.py']; add_seq=0.381; rem_seq=1.000; add_jaccard=0.192; rem_jaccard=1.000; patch_lines=10; gold_lines=28; risks=['many_numeric_literals']"
